question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
46,21028,Which ofthe following sorting algorithms has the worst-case time complexity of O()  but is widely used for small datasets or as a subroutine in more advanced algorithms?  ,NA,Medium,Single correct,Bubble Sort,quick sort,merge sort,insertion sort,4
47,21028,"In which sorting algorithm do elements ""bubble up"" to their correct positions by repeatedly swapping adjacent elements if they are in the Wrong order?",NA,Medium,Single correct,selection Sort,bubble Sort,mergesort,quick Sort,2
48,21028,What is the primary advantage of MergeSort over Bubble Sort and Insertion Sort?,NA,Medium,Single correct,In-place sorting,Stability,Guaranteed worst-case time complexity,parallelisation,4
49,21028,"Which sorting algorithm is known for its in-place sorting property, making it memory-efficient for large datasets?",NA,Medium,Single correct,quick sort,Bubble Sort,merge sort,insertion sort,1
50,21028,"In QuickSort, what is the role of the ""pivot"" element?",NA,Medium,Single correct,To mark the end of the array,To divide the array into two subarrays,To merge two sorted subarrays,To identify the smallest element,2
51,21028,Which sorting algorithm works by repeatedly selecting the minimum element from the unsorted part of the array and putting it at the beginning?,NA,Medium,Single correct,quick sort,Bubble Sort,insertion sort,selection sort,4
52,21028,What is the primary drawback of Bubble Sort in terms of time complexity?,NA,Medium,Single correct,unstable sorting',Worst-case time complexity,Inefficient for large datasets,Lack of in-place sorting,3
53,21028,"Which sorting algorithm is known for its stabilit, meaning that equal elements maintain their relative order in the sorted output?",NA,Medium,Single correct,QuickSort,merge sort,Bubble Sort,insertion sort,4
54,21028,"In which sorting algorithm is the term ""partition"" commonly used?",NA,Medium,Single correct,Bubble Sort,selection sort,QuickSort,merge sort,3
55,21028,What is the primary advantage of MergeSort over QuickSort regarding worst-case time complexity?,NA,Medium,Single correct,MergeSort has a lower worst-case time complexity.,QuickSort has a lower worst-case time complexity.,Both have the same worst-case time complexity.,Neither guarantees a worst-case time complexity.,1
56,21028,"Which sorting algorithm has the characteristic of ""divide and",NA,Medium,Single correct,Bubble Sort,selection sort,mergeSort, insertion sort,3
57,21028,"in which sorting algorithm is the term ""heap"" commonly associated?  ",NA,Medium,Single correct,Bubble Sort, insertion sort,QuickSort,heap sort,4
58,21028,"Which sorting algorithm has a time complexity of O(n log n) in the worst case, making it efficient for a wide range of scenarios?  ",NA,Medium,Single correct,Bubble Sort,selection sort,QuickSort,merge sort,4
59,21028,What is the primary disadvantage of QuickSort in terms of worst-case time complexity?,NA,Medium,Single correct,Lack of stability, Lack of stability,Poor performance on already sorted data,Unpredictable worst-case time complexity,3
60,21028," In Selection Sort, how many comparisons are made in the worst-case scenario for each element being placed in its final position?  ",NA,Medium,Single correct,n - 1 comparisons,n comparisons,(n-1)/2comparisons,n log n comparisons  ,3
61,21028,What is the main principle of the Divide and Conquer paradigm? ,NA,Medium,Single correct,Solving small instances of a problem and combining their solutions ,Iteratively solving a problem until a base case is reached,Combining solutions and then dividing the problem,Applying random strategies to solve a problem,1
62,21028,Which sorting algorithm uses the Divide and Conquer approach? ,NA,Medium,Single correct,Bubble Sort,insertion sort,QuickSort,selection sort,3
63,21028,"In MergeSort, what is the time complexity for merging two sorted arrays of sizes m and n? ",NA,Medium,Single correct,\[ O(m + n) \],"O(\max(m, n))",O(m \times n),"O(\log(\min(m, n)))",1
64,21028,What is the recurrence relation for the time complexity of MergeSort on an array of size n? ,NA,Medium,Single correct,"\(T(n) = 2 \times T(n/2) + O(1)\)
","\(T(n) = T(n - 1) + O(n)\)
","\(T(n) = T(n/2) + O(n)\)
",\(T(n) = 2 \times T(n/2) + O(n)\),4
65,21028,Which algorithm uses a pivot element to partition an array into two subarrays in the Divide and Conquer strategy? ,NA,Medium,Single correct, Insertion Sort,Bubble Sort,Quick Sort, MergeSort,3
66,21028," What is the worst-case time complexity of QuickSort when the pivot is poorly chosen, and partitions are highly imbalanced? ",NA,Medium,Single correct,"\(O(n)\)
",\(O(n \log n)\),\(O()\),\(O(\log n)\),3
67,21028,"Which algorithm uses a ""divide"" step where a problem is split into subproblems, a ""conquer"" step where subproblems are solved, and a ""combine"" step where solutions are merged? ",NA,Medium,Single correct,MergeSort,quick sort,binary search.,all of above,4
68,21028,What is the primary advantage of the Divide and Conquer approach? ,NA,Medium,Single correct, Simplicity in implementation ,Guarantee of optimal solutions ,Improved parallelism ,Minimal memory usage,3
69,21028,"in the Karatsuba algorithm for fast multiplication of large integers, what is the time complexity? ",NA,Medium,Single correct,"\(O(n)\)
",\(O(n \log n)\),\(O()\),\(O(3)\),4
70,21028,"Which problem-solving strategy is often used in dynamic programming but is essentially a variant of Divide and Conquer? 
",NA,Medium,Single correct,Backtracking , Greedy Algorithms ,Memoization ,Bottom-Up Approach ,3
71,21028,What is the purpose of the base case ina recursive algorithm following the Divide and Conquer paradigm? ,NA,Medium,Single correct,To minimize the time complexity,to handle edge cases or small instances directly ,To ensure that the algorithm is iterative,To increase the parallelism of the algorithm,2
72,21028,Which operation dominates the time complexity of the MergeSort algorithm?,NA,Medium,Single correct,divide,conquer,merge,combine,3
73,21028," In the context of Divide and Conquer algorithms, what is the ""Master Theorem"" used for? ",NA,Medium,Single correct,Solving recurrence relations ,Analyzing space complexity,Determining the base case,Improving the divide step,1
74,21028,"Which algorithm uses a divide"" step to partition an array into elements less than and greater than a chosen pivot? ",NA,Medium,Single correct,mergesort,heapsort,quicksort,insertion sort,3
75,21028,"Which algorithm is used to find the Minimum Spanning Tree in a connected, undirected graph with weighted edges? ",NA,Medium,Single correct,Dijkstra's Algorithm,Bellman-Ford Algorithm,Kruskal's Algorithm,Floyd-Warshall Algorithm,3
76,21028,What property ensures that Kruskal's Algorithm Tree? works correctly in finding the Minimum Spanning ,NA,Medium,Single correct,Connectivity,Acyclic Graph,Greedy Choice,Strongly Connected Components,3
77,21028,"in Kruskal's Algorithm, how are disjoint sets represented and manipulated efficiently?",NA,Medium,Single correct,Linked List,Priority Queue,Union-Find (Disjoint Set) Data Structure,Stack,3
78,21028,What is the time complexity of Kruskal's Algorithm with the Union-Find data structure?,NA,Medium,Single correct,\(O(V)\),\(O(E \log V)\),\(O(V \log V)\),\(O(E)\),2
79,21028,"In Prim's Algorithm, how the starting vertex chosen for growing the Minimum Spanning Tree?",NA,Medium,Single correct,randomly,Vertex with the highest degree,Vertex with the lowest weight edge,Vertex with the highest weight edge,1
80,21028,What data structure is commonly used in the implementation of Prim's Algorithm for eficiently selecting the next vertex to add to the Minimum Spanning Tree?,NA,Medium,Single correct,Queue,Stack,Priority Queue,linked list,3
81,21028,What is the time complexity ofPrim's Algorithm with a Priority Queue?,NA,Medium,Single correct,\(O(V)\),\(O(E)\),\(O(V \log V)\),\(O(E \log V)\),4
82,21028, Which condition must be satisfied for a graph to have a unique Minimum Spanning Tree?,NA,Medium,Single correct,All edges must have distinct weights.,The graph must be connected.,the graph must be acyclic.,The graph must be complete  ,1
83,21028,"Which algorithm is suitable for finding the Minimum Spanning Tree in a graph with weighted edges, but the edges may have the same weight?",NA,Medium,Single correct,Prim's Algorithm  ,Kruskal's Algorithm ,Dijkstra's Algorithm,Floyd-Warshall Algorithm,2
84,21028,"In Kruskal's Algorithm, when is an edge considered for inclusion in the Minimum Spanning Tree?",NA,Medium,Single correct,If it forms a cycle in the currentset of chosen edges.,If it has the highest weight  ,If it connects the two smallest disjoint seta.,if it has the lowest weight and does not form a cycle.,4
85,21028,What is the main advantage of Prim's Algorithm over Kruskal's Algorithm?,NA,Medium,Single correct,Lower time complexity,Handles graphs with negative edge weights,More efficient for sparse graphs,Simplicity in implementation,1
86,21028,"In Prim's Algorithm,what is the significance the ""cut property""?",NA,Medium,Single correct, It determines the weight of the Minimum Spanning Tree.,It defines the order of selecting vertices.,It ensures that the selected edge has the minimum weight.,It helps in efficiently selecting the next vertex to add to the tree.,3
87,21028,What is the primary application of Minimum Spanning Trees in real-world scenarios?,NA,Medium,Single correct,Network Routing,Shortest Path Finding,Topological Sorting,Graph Coloring,1
88,21028,Which algorithm guarantees the inclusion of a specific edge in every Minimum Spanning Tree of a graph?,NA,Medium,Single correct, Kruskal's Algorithm,Prim's Algorithm,Dijkstra's Algorithm,Bellman-Ford Algorithm,4
89,21028," In Kruskal's Algorithm, how does the Union Find data structure help maintain disjoint sets efficiently?",NA,Medium,Single correct,By using a linked list to represent sets.,By merging sets in constant time,By using a priority queue for set operations,By maintaining a separate array for each set.,2
90,21028,Which of the following algorithms is used te traverse a graph in a breadth-first manner,NA,Medium,Single correct,dfs.,bfs.,djkstra algo,prims algo,2
91,21168,"In graph traversal, what is the purpose of marking a vertex as ""visited""?",NA,Easy,Single correct,To indicate that the vertex has been deleted.,To prevent revisiting the same vertex during traversal.,To prioritize the vertex in future traversals.,To assign a unique identifier to the vertex.,2
92,21168,Which data structure is typically used for implementing a Depth-First Search (DFS) traversal?,NA,Easy,Single correct,Queue,Stack,Linked List,Priority Queue,2
93,21168,What is the primary difference between DFS and BFS?,NA,Medium,Single correct,"DFS explores vertices in breadth-first order, while BFS explores in depth-first order.","DFS uses a queue, while BFS uses a stack.","DFS may not necessarily find the shortest path, while BFS guarantees the shortest path.",DFS and BFS are identical; there is no difference.,3
94,21168,Which algorithm is often used to find the topological ordering of vertices in a directed acyclic graph (DAG)?,NA,Medium,Single correct,Kruskal's Algorithm,Dijkstra's Algorithm,Depth-First Search (DFS),Bellman-Ford Algorithm,3
95,21168,"In graph traversal, what is the time complexity of both DFS and BFS for an adjacent matrix representation?",NA,Medium,Single correct,\( O(V) \),\( O(E) \),\( O(V + E) \), \( O(E \log V) \),2
96,21168,What is the primary goal of the Floyd-Warshall Algorithm?,NA,Medium,Single correct,Finding the minimum spanning tree,All pairs shortest paths,Topological sorting,Finding connected components,2
97,21168,Which traversal technique is suitable for finding the shortest path in an unweighted graph?,NA,Medium,Single correct,Depth-First Search (DFS),Breadth-First Search (BFS), Dijkstra's Algorithm,Bellman-Ford Algorithm,2
98,21168,"In graph theory, what is the purpose of the term ""parent"" in the context of tree-based traversals?",NA,Easy,Single correct,To indicate the root of the tree.,To represent the first child of a node.,To identify the node from which the current is discovered.,To store the level of the node in the tree.,3
99,21168,Which traversal technique is typically used for finding the strongly connected components in a directed graph?,NA,Medium,Single correct,Depth-First Search (DFS),Breadth-First Search (BFS),Dijkstra's Algorithm,Kruskal's Algorithm,1
100,21168,What is the primary limitation of Depth-First Search (DFS) in terms of space complexity?,NA,Medium,Single correct,It requires additional memory to store the visited vertices.,It may lead to a stack overflow for large graphs.,It has higher space complexity than Breadth-First Search (BFS).,It cannot handle cyclic graphs.,2
101,21168,Which algorithm is used for finding the shortest path in a weighted graph?,NA,Easy,Single correct,Depth-First Search (DFS),Breadth-First Search (BFS),Dijkstra's Algorithm,Prim's Algorithm,3
102,21168,"In Dijkstra's Algorithm, what data structure is used to store and update the tentative distances of each vertex?",NA,Easy,Single correct,Stack,Queue,Priority Queue,Linked List,3
103,21168,Which of the following statements is true for Bellman-Ford Algorithm?,NA,Medium,Single correct,It only works with graphs containing positive edge weights.,It can handle graphs with negative edge weights.,It is not suitable for directed graphs.,It is faster than Dijkstra's Algorithm.,2
104,21168,What is the time complexity of Dijkstra's Algorithm with an adjacency matrix representation?,NA,Medium,Single correct,\( O() \),\( O() \),\( O(V \log V) \),\( O(\log V) \),1
105,21168,Which algorithm is used for finding the single source shortest paths in a graph with negative edge weights but no negative cycles?,NA,Medium,Single correct,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Kruskal's Algorithm,2
106,21168,"What does the term ""Relaxation"" mean in the context of Shortest Path Algorithms?",NA,Medium,Single correct,The process of updating the distance of a vertex if a shorter path is found.,The process of removing edges with higher weights from the graph.,The process of converting an unweighted graph to a weighted graph.,The process of finding the longest path in a graph.,1
107,21168,Which algorithm is not suitable for graphs with a large number of vertices due to its high time complexity?,NA,Medium,Single correct,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Prim's Algorithm,3
108,21168,In which scenario would Dijkstra's Algorithm fail to find the correct shortest path?,NA,Medium,Single correct,When the graph contains negative edge weights.,When the graph is not connected., When the graph contains a negative weight cycle.,When the graph is undirected.,3
109,21168,Which algorithm guarantees the shortest paths between all pairs of vertices in a weighted graph?,NA,Medium,Single correct,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Prim's Algorithm,3
110,21168,What is the primary advantage of using Prim's Algorithm for finding the minimum spanning tree?,NA,Medium,Single correct,It is faster than Kruskal's Algorithm.,It guarantees the shortest paths between all pairs of vertices.,It works well with graphs containing negative edge weights.,It has a time complexity of \( O(V \log V) \).,3
111,21168,Which of the following is a drawback of Dijkstra's Algorithm?,NA,Medium,Single correct,It cannot handle graphs with negative edge weights.,It has a high time complexity.,It does not guarantee the shortest paths between all pairs of vertices.,It requires a priority queue for implementation.,1
112,21168,"In the context of Bellman-Ford Algorithm, what is the purpose of iterating \( |V| - 1 \) times?",NA,Medium,Single correct,To detect negative weight cycles.,To guarantee that the shortest paths are found.,To minimize the time complexity.,To handle undirected graphs.,2
113,21168,What is the primary advantage of using Prim's Algorithm for finding the minimum spanning tree? ,NA,Medium,Single correct,It is faster than Kruskal's Algorithm. ,It guarantees the shortest paths between all pairs of vertices. ,It works well with graphs containing negative edge weights. ,It has a time complexity of \( O(V \log V) \).,3
114,21168,Which of the following is a drawback of Dijkstra's Algorithm? ,NA,Medium,Single correct,It cannot handle graphs with negative edge weights. ,It has a high time complexity. ,It does not guarantee the shortest paths between all pairs of vertices. , It requires a priority queue for implementation. ,1
115,21168,"In the context of Bellman-Ford Algorithm, what is the purpose of iterating |V| - 1 times?",NA,Medium,Single correct,It cannot handle graphs with cycles.,It requires an adjacency matrix representation.,It does not guarantee the minimum spanning tree.,It has a higher time complexity.,4
116,21168,Which algorithm is suitable for finding the shortest path in a graph with both positive and negative edge weights?,NA,Medium,Single correct,Dijkstra's Algorithm,Bellman-Ford Algorithm,Prim's Algorithm,Kruskal's Algorithm,2
117,21168,What is the primary application of the Floyd Warshall Algorithm? ,NA,Medium,Single correct,Shortest path in a weighted graph. ,Minimum spanning tree. ,All pairs shortest paths. ,Topological sorting. ,3
118,21168,What is the correct syntax to create a list in Python?,NA,Easy,Single correct,"list = (1, 2, 3] ","myList = (1, 2, 3)","[1, 2, 3] ","createList(1, 2, 3)",3
119,21168,What is the output of the following Python code? ,NA,Easy,Single correct,1 2 3 4 5,1 3 2005,2 4,Nothing is printed ,3
120,21168,What is the purpose of the return statement in a Python function? ,NA,Easy,Single correct,To define the function name,To print the function output,To exit the function and send back a value,To stop the program execution,3
121,21168,What is the difference between a string and a list in Python? ,NA,Easy,Single correct,Both are mutable data types.,"Strings are ordered sequences of characters, while lists are unordered collections of any data type.","Lists can store multiple data types, while strings can only store characters.",They are the same data type with different names.,2
122,21168,What is the benefit of using a dictionary in Python?,NA,Easy,Single correct,To store data in a specific order,To associate key-value pairs for flexible data,To perform mathematical operations efficiently,To define new functions within the program,2
123,21168,What is NOT a benefit of using Python for programming? ,NA,Easy,Single correct,Large and active community with extensive libraries,"Compiled language, requiring complex setup",Relatively simple and readable syntax,"Versatile for various applications like web development, data science, and automation",4
124,21168,What are the basic data types in Python? ,NA,Easy,Single correct,"Strings, Numbers, Lists, Dictionaries","Keywords, Functions, Classes, Modules","Variables, Operators, Loops, Conditions","Integers, Characters, Floats, Strings",4
125,21168,What is the syntax for creating a list in Python? ,NA,Easy,Single correct,"list my_list = [1, 2, 3]","my_list = [1, 2, 3]","my_list = (1, 2, 3)","my_list -> [1, 2, 3]",2
126,21168,What is the purpose of the for loop in Python? ,NA,Easy,Single correct,Conditional execution of code based on a boolean value,Repeatedly iterating through a sequence of elements,Defining and assigning values to variables,Importing external libraries into your code,2
127,21168,What is the difference between a function and a method in Python?,NA,Medium,Single correct,"Functions are global, while methods are specific to objects","Functions always return a value, while methods don't","Methods require \texttt{self} as the first argument, functions don't","There is no functional difference, just terminology",3
128,21168,What is the correct way to import the pandas library in Python? ,NA,Easy,Single correct,import pandas as pd,include pandas,use pandas,load pandas,1
129,21168,"What is the output of the following Python code: 
print(5 + 3 * 2)? ",NA,Easy,Single correct,10,13,8,5,2
130,21168,What is the purpose of indentation in Python? ,NA,Easy,Single correct,Visual formatting only,"Defining code blocks within loops, functions, and conditional statements",Adding comments and explanations,Controlling variable scope,2
131,21168,What is a common way to handle errors in Python?,NA,Easy,Single correct,Ignore them and hope they don't happen,try/except blocks to catch and handle specific errors,Print error messages and continue,if statements for checking for potential errors,2
132,21168,What is the main purpose of version control systems like Git in Python programming?,NA,Easy,Single correct,Compiling and running Python code efficiently,"Tracking changes, collaborating, and reverting to previous versions of code",Downloading libraries and external dependencies,Managing documentation and project files,2
133,21168,Which collision resolution techniques are commonly used in hash tables?,NA,Medium,Single correct,Separate chaining: Stores colliding elements in linked lists within the same hash index.,Open addressing: Probes adjacent slots until finding an empty one for the colliding element.,Double hashing: Uses a secondary hash function to determine a different probe sequence for resolving collisions.,All of the above,4
134,21168,What factors should be considered when choosing a hash function for a hash table? ,NA,Easy,Single correct,Uniform distribution of keys across the hash table,Deterministic output for the same key,Fast computation time,All of the above,4
135,21168,How can the performance of a hash table be optimized? ,NA,Easy,Single correct,Choosing a larger table size to reduce collisions,Implementing effective collision resolution techniques,Maintaining a low load factor (ratio of inserted elements to table size),All of the above,4
136,21168,What are the key steps involved in merging two sorted sub-arrays? ,NA,Easy,Single correct,Compare the first elements of each sub-array and move the smaller element to the output array,Repeat step (a) until all elements are considered.,"If one sub-array runs out of elements, append the remaining elements from the other sub-array directly to the output array.",All of the above,4
137,21168,"When compared to Quick Sort, what are some potential advantages of Merge Sort? ",NA,Medium,Single correct,Guaranteed \( O(n \log n) \) worst-case time complexity,Stable sorting behavior,No dependence on pivot element selection,All of the above,4
138,21168,Merge Sort is compared to other sorting algorithms. Which statement is MOST LIKELY true? ,NA,Medium,Single correct,Merge sort is always faster than Bubble Sort.,Merge sort is better than Quick Sort for all data sets.,Merge sort is less efficient than Heap Sort in terms of memory usage.,Merge sort is the only stable sorting algorithm among them.,1
139,21168,When might you choose Merge Sort over other sorting algorithms? ,NA,Medium,Single correct,When dealing with extremely large datasets.,When the order of equal elements matters.,When working with external storage like disk files.,All of the above,4
140,21168,What are some potential drawbacks of using Merge Sort? ,NA,Medium,Single correct,Increased overhead due to the divide-and-conquer approach.,Additional memory requirements for merging.,Performance can be sensitive to data locality.,All of the above,4
141,21168,Can Merge Sort be optimized further?,NA,Medium,Single correct,"Yes, using bottom-up implementation instead of top-down.","Yes, by combining it with other sorting algorithms like Quick Sort.","Yes, by optimizing the merging process with advanced techniques.",All of the above,4
142,21168,What happens if the chosen pivot in quick sort already the smallest element in the array? ,NA,Medium,Single correct,The algorithm throws an error. ,The array becomes permanently unsorted. ,The sorting efficiency becomes optimal. ,The worst-case time complexity occurs.,4
143,21168,Consider a graph with 10 vertices and 15 edges. What could be the degrees of the vertices? ,NA,Easy,Single correct,All vertices have degree 3. ,"One vertex has degree 10, others have degree 1. ","Five vertices have degree 3, five have degree 0.",Any combination of degrees that sums to 30.,4
144,21168,Which of the following are core data structures in Python? ,NA,Easy,Multi correct,Lists,Tuples,Dictionaries,Strings,"1,2,3,4"
145,21168,Which of the following programming paradigms are supported by Python?,NA,Easy,Multi correct,Procedural programming ,Object-oriented programming ,Functional programming ,Logic programming,"1,2,3"
146,21168,Which of the following statements accurately describe Python's type system? ,NA,Easy,Multi correct,Python is dynamically typed.,Python is strongly typed.,Python is weakly typed. ,Python is statically typed. ,"1,2"
147,21168,Which of the following are common Python libraries used for data analysis and manipulation? ,NA,Easy,Multi correct,NumPy ,Pandas ,Matplotlib ,TensorFlow ,"1,2,3,4"
148,21168,Which of the following are key features of Python's exception handling mechanism? ,NA,Easy,Multi correct,Using try..except blocks to catch exceptions,Raising exceptions with the raise keyword ,Defining custom exception classes,Using finally blocks for code that always executes,"1,2,3,4"
149,21168,Which of the following are core data types in Python?,NA,Easy,Multi correct,Integers,Lists,Tuples,Dictionaries,"2,3,4"
150,21168,Which of the following statements are true about functions in Python? ,NA,Easy,Multi correct,Functions can return multiple values. ,Functions can be passed as arguments to other functions. ,Functions can be nested within other functions. ,Functions must be defined before they are called.,"1,2,3"
151,21168,Which of the following are common object-oriented programming (OOP) concepts in Python?,NA,Easy,Multi correct,Classes,Inheritance ,Encapsulation ,Polymorphism,"1,2,3,4"
152,21168,Which of the following are popular Python libraries for data analysis and manipulation? ,NA,Easy,Multi correct,NumPy ,Pandas ,Matplotlib , Scikit-learn ,"1,2,3,4"
153,21168,Which of the following are common Python frameworks for web development? ,NA,Easy,Multi correct,Django ,Flask ,Pyramid ,Tornado,"1,2,3,4"
