question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
47,21038,Which of the following is a benefit of using a de-normalized data model in a data warehouse?,NA,Easy,Single correct,Reduced storage space,Improved query performance,Enhanced data integrity, Simplified ETL processes,2
48,21038,What is the primary focus of a multidimensional data model in data warehousing?,NA,Easy,Single correct,Representing detailed transactional data and operational processes,Organizing data around specific subjects and business processes for analysis,Optimizing database performance for large-scale data processing,Enforcing data integrity and consistency across different sources,2
49,21038,Which type of schema is most widely used for multidimensional data modeling?,NA,Easy,Single correct,Star schema,Snowflake schema,Fact constellation schema,Entity-relationship model,1
50,21038,What is the main advantage of using a snowflake schema compared to a star schema?,NA,Easy,Single correct,Improved query performance for complex cross-dimensional analysis,Reduced data redundancy and smaller storage requirements,Simplified joins and faster performance for basic aggregations,Enhanced flexibility for accommodating future data expansion,1
51,21038,How can fact less fact tables be effectively utilized in multidimensional data models?,NA,Easy,Single correct,By storing detailed transaction data for Operational analvsis,By holding aggregated measures without any associated dimension attributes,By acting as bridge tables between dimension and fact tables,By providing metadata about the data model itself,2
52,21038,What are some key considerations when designing dimension tables in a multidimensional data model?,NA,Easy,Single correct,Defining appropriate levels of granularity for analysis,Selecting relevant attributes that support business needs,Ensuring consistency and con formed dimensions across the model,All of the above,4
53,21038,How can data denormalization be strategically employed in multidimensional data models?,NA,Easy,Single correct,By introducing redundanciesthat eliminate costly joins,By increasing the complexity of the data model,By reducing the overall size of the data warehouse,By normalizing dimension tables to their highest form,1
54,21038,What are some best practices for managing data quality in multidimensional data models?,NA,Easy,Single correct,Implement data validation rules and cleansing routines, Monitor data lineage and track changes to the mode,Test and validate queries for accuracy and performance,All of the above,4
55,21038,What are some potential challenges associated with implementing and maintaining,NA,Easy,Single correct, Increased query complexity for advanced analysis,Difficulty in accommodating schema changes and data expansions,Higher technical skills required for model design and implementation,All of the above,4
56,21038,What is the primary goal of data normalization in a data warehouse?,NA,Easy,Single correct,Increase data redundancy,Optimize query performance,Simplify data loading,Support real-time processing,2
57,21038,"In the context of data warehousing, what does the term First Normal Form (1NF)' imply?",NA,Easy,Single correct,No repeating groups, No duplicate records,No null values,No data redundancy,1
58,21038,Which normalization form deals with partial dependency in a table?,NA,Easy,Single correct,Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),Second Normal Form (2NF),Fourth Normal Form (4NF),1
59,21038, What is a determinant in the context of normalization?,NA,Easy,Single correct,An attribute that uniquely determines another attribute,A non-key attribute,A composite keyA composite key,A repeating group of data,1
60,21038,"In the normalization process, what does the term transitive dependency' refer to?",NA,Easy,Single correct,Dependency between two non-prime attributes,Dependency between two primary key attributes,Dependency between two foreign key attributes,Indirect dependency between two attributes through a third attribute,4
61,21038,What is normalization in the context of data warehousing?,NA,Easy,Single correct,Reducing redundancy in data,Increasing redundancy in data,Ignoring data consistency,Maximizing data duplication,1
62,21038,Which normalization form ensures that there are no partial dependencies?,NA,Easy,Single correct,irst Normal Form (INF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),3
63,21038, In which normalization form is a composite primary key allowed? ,NA,Easy,Single correct,irst Normal Form (INF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),2
64,21038,What is the purpose of Boyce-Codd Normal Form(BCNF)?,NA,Easy,Single correct,Eliminating transitive dependencies,Eliminating partial dependencies,Eliminating redundant data,Eliminating composite keys,1
65,21038, Which normalization form allows for a multi valued dependency?,NA,Easy,Single correct,Second Normal Form (2NF),Third Normal Form (3NF), Fourth Normal Form (4NF),Fifth Normal Form (5NF),3
66,21038,What is a disadvantage of excessive normalization in data warehousing?,NA,Easy,Single correct,Improved data integrity,Increased redundancy,Better performance,Simplified data model,2
67,21038,Which normalization form eliminates transitive dependencies and is a stricter version of 3NF?,NA,Easy,Single correct,Fourth Normal Form (4NF),Fifth Normal Form (5NF),Boyce-Codd Normal Form (BCNF),Sixth Normal Form (6NF),3
68,21038,What is denormalization in data warehousing?,NA,Easy,Single correct,Increasing redundancy for performance,Reducing data consistency,Ignoring data integrity,Normalizing data to the highest degree,1
69,21038, Which normalization form is considered the highest level of normalization?,NA,Easy,Single correct,Fifth Normal Form (5NF),Sixth Normal Form (6NF),Fourth Normal Form (4NF),Domain-Key Normal Form (DKNF),2
70,21038, When might denormalization be a suitable Strategy in data warehousing?,NA,Easy,Single correct,For OLAP systems, For OLTP systems,For highlynormalized databases,For systems with minimal data redundancy,1
71,21038,What is discretization in the context of numerical methods?,NA,Easy,Single correct,The process of making continuous data discrete,The process of converting discrete data into continuous,The process of data compression,The process of optimizing numerical algorithms,1
72,21038,"In signal processing, what is the purpose of discretizing a continuous signal?",NA,Easy,Single correct,To increase signal clarity, To reduce computational complexity,To optimize storage space,To minimize signal distortion,2
73,21038,Which method is commonly used for discretizing differential equations in numerical analysis?,NA,Easy,Single correct,Finite element method,Fourier transform,Runge-Kutta method,Laplace transform,3
74,21038,What is the significance of the Nyquist-Shannon sampling theorem in discretization?,NA,Easy,Single correct, It defines the minimum sampling rate needed to avoid aliasing,It determines the maximum amplitude of a signal,It sets the minimum precision for numerical computations,It establishes the sampling frequency for analog-to-digital conversion,1
75,21038,"In finite difference methods, what does the term ""stencil"" refer to?",NA,Easy,Single correct,A visual representation of discretized data,A set of neighboring points used for approximating derivatives,The process of quantizing continuous signals,A mathematical formula for discrete integration,2
76,21038, What is the primary motivation for discretizing continuous data?,NA,Easy,Single correct,Reduce storage requirements and simplify data representation,Facilitate faster processing and improve computational efficiency.,Enable the use ofdistance-based algorithms for data analysis., All of the above.,4
77,21038,Which methods are commonly used for data discretization?,NA,Easy,Single correct,Equal width binning. equal frequency binning. k-means clustering,"Entropy-based binning, decision tree algorithms, chi-squared discretization",Both A and B,None of the above.,3
78,21038,What are the potential drawbacks of using a small number of bins for discretization?,NA,Easy,Single correct,"Loss of information and granularity, masking underlying patterns",Increased variance and reduced accuracy of analysis models,Computational inefficiencies and slower processing times,All of the above.,1
79,21038,How can the optimal number of bins for discretization be determined?,NA,Easy,Single correct,Manually tuning based on domain knowledge and expected patterns,Using statistical methods like the elbow method or silhouette analysis, Relying on the inherent logic of the chosen discretization method,A combination of B and C,4
80,21038,What is the impact of discretization on the application of distance-based algorithms like k-nearest neighbors?,NA,Easy,Single correct,Distances become more accurate due to discrete levels,Distances might be distorted based on chosen bin boundaries,Computation cost might decrease due to simplified comparisons,All of the above,4
81,21038,How can entropy-based discretization be used to optimize information gain when discretizing data?,NA,Easy,Single correct,By maximizing the difference in entropy between resulting bins,By minimizing the overall entropy within the entire discretized dataset,By balancing the trade-off between entropy reduction and bin size,All of the above,4
82,21038,"What is the concept of ""minimum description length"" in the context of discretization?",NA,Easy,Single correct,A measure of the trade-off between data compression and model complexity,A method for automatically determining the optimal number of bins,A criterion discretization for evaluating methods. the quality of different,All of the above,4
83,21038,How can supervised discretization technigues incorporate information from the target variable for data preparation?,NA,Easy,Single correct,By directly using the target variable values to define bin boundaries,By optimizing the discretization to maximize the correlation between bins and the target variable,By utilizing supervised learning algorithms like decision trees to partition the data,All of the above,4
84,21038, What are the limitations of supervised discretization compared to unsupervised methods?,NA,Easy,Single correct,Over-fitting to the specific target variable might not generalize well to other tasks,Requires prior knowledge or assumptions about the relationship between features and the target.,Can be computationally more expensive than unsupervised methods,All of the above,4
85,21038, How can discretization be used to address the curse of dimensionality in data analysis?,NA,Easy,Single correct,By reducing the number of features and simplifying the input space,By facilitating the application of distance based algorithms in high-dimensional data,By improving the interpretability of models built on discretized data,All of the above,4
86,21038,Which of the following measures is not distributive?,NA,Easy,Single correct,Number of customers,Sum of order values,Average order value,Count of distinct products,3
87,21038,What is the main advantage of pre-aggregating measures in a data warehouse?,NA,Easy,Single correct,Improved query  performance due to fast retrieval of pre-calculated values,Reduced storage requirements by eliminating redundant calculations,Increased  flexibility for analysing data at different granularities,Enhanced data accuracy . by minimizing rounding errors during calculations,1
88,21038,Which type of measure must be calculated on the entire dataset without decomposition?,NA,Easy,Single correct,Standard deviation,Maximum value,Percentile,Average order value,3
89,21038,In what scenario would you consider using a user-defined function (UDF) for calculating a measure?,NA,Easy,Single correct,When a complex custom calculation is needed beyond built-in functions,To improve query performance for frequently used measures,To simplify data cleansing and pre-processing steps,To ensure compatibility with other data tools and analytics platforms,1
90,21038,How can the level of granularity for a measure impact data analysis?,NA,Easy,Single correct,Analyzing data at a finer level provides more detailed insights but might obscure broader trends.,Choosing acoarser granularity improves query performance but reduces the resolution of analysis.,Both A and B,The granularity level has no significant impact on data analysis.,3
91,21038,What is sampling in warehousing?,NA,Easy,Single correct,The granularity level has no significant impact on data analysis.,Counting all items in the warehouse,Organizing items alphabetically,Rearranging the layout of the warehouse,1
92,21038,What is the primary purpose of sampling in warehousing?,NA,Easy,Single correct,Maximizing warehouse space,Minimizing inventory turnover,Efficient order fulfillment,Quality control and assurance,4
93,21038,Which sampling method involves selecting every nth item from a list?,NA,Easy,Single correct,Simple random sampling,Systematic sampling,Stratified sampling,Cluster sampling,2
94,21038,"In warehousing, what does the term ""stratified sampling"" refer to?",NA,Easy,Single correct,Selecting items randomly without a pattern,Dividing the inventory into subgroups and sampling from each subgroup,Sampling only the items near the entrance,Sampling the most valuable items,2
95,21038,Which factor is important when determining the sample size in warehousing?,NA,Easy,Single correct,The total number of items in the warehouse,The average weight of items,The warehouse temperature,The color of the items,1
96,21038,What is the advantage of using random sampling in warehousing?,NA,Easy,Single correct, It is easy to implement,It ensures representation of all items,It requires less time,It focuses on specific categories,2
97,21038,"What does 'sampling error"" refer to in warehousing?",NA,Easy,Single correct,Errors in the sampling process,Errors in the warehouse layout,Errors in inventory tracking,Errors in item labelling,1
98,21038,Which type of sampling is suitable for items with varying levels of importance or value?,NA,Easy,Single correct,Simple random sampling,Systematic sampling,Stratified sampling,Cluster sampling,3
99,21038,What is the purpose of cluster sampling in warehousing?,NA,Easy,Single correct,To sample only from specific clusters of item,To sample items in a clustered storage layout,To sample from randomly selected clusters of items,To sample items in a linear fashion,3
100,21038,How does stratified sampling differ from cluster sampling in warehousing,NA,Easy,Single correct,Stratified sampling involves random selection of entire clusters,Cluster sampling involves dividing the inventory into subgroups.,Sratified sampling involves sampling entire subgroups,Cluster sampling involves sampling proportionally from each subgroup.,3
101,21038,What is the purpose of Gate Level Sampling in warehousing?,NA,Easy,Single correct,To monitor security at the warehouse entrance,To collect data on employee attendance,To inspect the quality of incoming and outgoing goods,To control the temperature inside the warehouse,3
102,21038,When is Gate Level Sampling typically performed in the warehousing process?,NA,Easy,Single correct,After goods are stored in the warehouse,During the transportation of goods,Before goods enter or exit the warehouse,At random times during the day,3
103,21038,What is the main advantage of Gate Level Sampling over other sampling techniques?,NA,Easy,Single correct,Lower cost, Faster implementation, Immediate feedback on quality,Greater accuracy,3
104,21038,Which factor is crucial for the success of Gate Level Sampling in warehousing?,NA,Easy,Single correct,The size of the warehouse,The speed of transportation vehicles,The reliability of sampling equipment,The cooperation of warehouse staff,4
105,21038,"What does the term ""sampling frequency"" refer to in Gate Level Sampling?",NA,Easy,Single correct,The number of goods sampled per hour,The duration of each sampling session,The accuracy of the sampling equipment,The frequency of gate inspections,1
106,21038,"In Gate Level Sampling, what does the term ""acceptance sampling"" mean?",NA,Easy,Single correct,Sampling goods that are accepted by the warehouse ,Sampling a percentage of goods for inspection,Accepting all goods without sampling,Rejecting sampled goods,2
107,21038,What is the role of a Gate Level Sampling plan in warehousing?,NA,Easy,Single correct,To determine the layout of the warehouse gate,To establish sampling procedures and criteria,To calculate the overall warehouse capacity,To organize transportation routes,2
108,21038,Which of the following statements about Gate Level Sampling is true?,NA,Easy,Single correct,It is only applicable to outgoing goods.,It is primarily focused on employee behaviour.,It provides a snapshot of the overall warehouse inventory,It allows for real-time quality assessment of goods.,4
109,21038,How does Gate Level Sampling contribute to inventory management in warehousing?,NA,Easy,Single correct,It reduces the need for warehouse staff, It minimizes the time required for goods transportation.,It helps identify and address quality issues promptly,t determines the optimal layout of the warehouse.,3
110,21038,What is the primary challenge associated with Gate Level Sampling in warehousing?,NA,Easy,Single correct,Inability to sample goods in real-time,Potential delays in the transportation process,Difficulty in ensuring a representative sample,Lack of support from warehouse staff,3
111,21038,What is the primary objective of the Gate Level Sampling process in warehousing?,NA,Easy,Single correct,To monitor employee activities, To track the movement of goods,To ensure timely deliveries,To assess the quality of incoming and outgoing goods,4
112,21038,When is Gate Level Sampling typically conducted in the warehousing workflow?,NA,Easy,Single correct,After goods are stored in the warehouse, During the picking process, Before goods enter or exit the warehouse,At the end of the transportation route,3
113,21038,What role does technology play in the gate level sampling process?,NA,Easy,Single correct,Tracking employee attendance,automating quality inspections,monitoring warehouse temperature,determining transportation routes,4
114,21038," In gate level sampling, what is the purpose of a sampling plan?",NA,Easy,Single correct,to determine the warehouse layout,to decide on employee shifts, to establish sampling procedures and criteria,to organize inventory by product category,3
115,21038,what is the significance of the acceptance sampling technique in gate level sampling?,NA,Easy,Single correct,sampling goods that are accepted by the warehouse,Sampling a percentage goods of goods  for inspection,Rejecting sampled goods,sampling rejected sampled goods,2
116,21038,How does Gate Level Sampling contribute to the overall efficiency of warehousing operations?,NA,Easy,Single correct,By reducing warehouse space, By minimizing employee workloads,By ensuring rapid goods transportation,By providing real-time quality assessment,4
117,21038,What challenges might arise during the Gate Level Sampling process in warehousing?,NA,Easy,Single correct,Difficulty in determining transportation routes,Inability to sample goods in real-time,Lack of technology to track goods,Excessive reliance on employee input,2
118,21038,How does Gate Level Sampling impact inventory management in warehousing?,NA,Easy,Single correct,By reducing the need for warehouse staff,By minimizing the time required for goods transportation, By identifying and addressing quality issues promptly,By optimizing the layout of the warehouse,3
119,21038,What is the role of warehouse staff in the Gate Level Sampling process?,NA,Easy,Single correct,To manually inspect every item,To monitor the temperature inside thewarehouse,To determine transportation route,To provide technology support for sampling,1
120,21038,How can Gate Level Sampling help in maintaining customer satisfaction?,NA,Easy,Single correct,By reducing the warehouse siz, By minimizing transportation delays,By ensuring a quick employee attendance process,By delivering high-quality goods to customers,4
121,21038,What is the primary purpose of data transformation in warehousing?,NA,Easy,Single correct,To monitor employee activities,To improve data quality,To optimize warehouse layout,To track transportation routes,2
122,21038,"In the context of warehousing, what does “data transformation"" refer to?",NA,Easy,Single correct,Changing the physical layout of the warehouse,Converting data from one format to another,Rearranging the order of inventory items,Adjusting the lighting conditions in the warehouse,2
123,21038,How does data transformation contribute to the efficiency of warehousing operations?,NA,Easy,Single correct,Changing the physical layout of the warehouse,Converting data from one format to another,Rearranging the order of inventory items,Adjusting the lighting conditions in the warehouse,2
124,21038,Which of the following is a common goal of data transformation in warehousing?,NA,Easy,Single correct,By reducing the size of the warehouse,By minimizing employee workloads,By optimizing transportation routes,By ensuring accurate and consistent data for analysis,4
125,21038,What in the data transformation process in warehousing?,NA,,,Maximizing inventory turnover,Minimizing warehouse temperature,Enhancing data security,,4
126,21001,"In data warehousing, what is a ""measure"" primarily used for?",NA,Easy,Single correct,To categorize data,To filter data,To perform calculations,"To create metadata
",3
127,21001,Which of the following is an example of a measure in a sales data warehouse?,NA,Easy,Single correct,Customer Name,Order Date,Quantity Sold,Product Category,3
128,21001,What is the role of a measure in the context of a data cube in data warehousing?,NA,Easy,Single correct,To define hierarchies,To represent dimensions,To provide context,To quantify data,4
129,21001,"In data warehousing, what is the term for the process of aggregating measures over dimensions?",NA,Easy,Single correct,Normalization,Denormalization,Drill-down,Roll-up,4
130,21001,Which of the following is an example of an aggregate measure in data warehousing?,NA,Easy,Single correct,Sales Amount,Product Name,Employee ID,Customer Address,1
131,21001,"In a data warehouse, what is the purpose of a dimension?",NA,Easy,Single correct,To perform calculations,To categorize data,To represent measures, To create metadata,2
132,21001,Which computation operation involves increasing the granularity of data in a data warehouse?,NA,Easy,Single correct,Roll-up,Drill-down,Slice,Dice,2
133,21001,"What is the purpose of a ""star schema"" in a data warehouse?
",NA,Easy,Single correct,To represent hierarchies,To link measures to dimensions,To perform data encryption,To filter data,2
134,21001,Which computation operation involves selecting a subset of data along one dimension in a data cube?,NA,Easy,Single correct,Roll-up,Drill-down,Slice,Dice,3
135,21001,"In data warehousing, what is the purpose of ""fact tables""?",NA,Easy,Single correct,To represent dimensions,To define hierarchies, To store measures,To provide context,3
136,21001,Which of the following is an example of a semiadditive measure in data warehousing?,NA,Easy,Single correct,Quantity Sold,Average Temperature,Employee ID,Product Category,2
137,21001,What is data compression in the context of warehousing?,NA,Easy,Single correct,Reducing the size of the warehouse,Reducing the number of products in the warehouse,Reducing the amount of data to be stored,Increasing the storage capacity of the warehouse,3
138,21001,Which compression algorithm is commonly used in warehousing for reducing redundancy in data?,NA,Medium,Single correct,Huffman coding,Run-Length Encoding (RLE),Lempel-Ziv-Welch (LZW),Burrows-Wheeler Transform (BWT),2
139,21001,What is the primary advantage of using lossless compression in warehousing?,NA,Medium,Single correct,Higher compression ratios,Preservation of data integrity,Faster compression speed,Smaller storage requirements,2
140,21001,"In the context of data warehousing, what does the term 'dictionary-based compression' refer to?
",NA,Medium,Single correct,Compressing data using a predefined dictionary,Storing compressed data in a dictionary format,Utilizing a dictionary to store unique values,Using a dictionary for sorting data in the warehouse,3
141,21001,Which type of data is most suitable for run-length encoding in warehousing?,NA,Medium,Single correct,Randomly distributed data,Sequentially repeating data,Text-based data,Image data,2
142,21001,How does compression impact query performance in a data warehouse?,NA,Medium,Single correct,Improves query performance,Has no effect on query performance,Slows down query performance,Randomly affects query performance,1
143,21001,Which of the following is a challenge associated with lossy compression in data warehousing?,NA,Medium,Single correct,Increased storage requirements,Reduced query performance,Loss of data fidelity,Limited compression ratios,3
144,21001,Which data warehouse component benefits most from efficient data compression?,NA,Medium,Single correct,Fact table,Dimension table,Staging area,Data mart,1
145,21001,What is the primary drawback of using lossless data compression in data warehouses?,NA,Medium,Single correct,Increased processing overhead,Potential loss of data accuracy,Reduced storage efficiency,Limited support for different data types,1
146,21001,"Which data compression technique is best suited for handling dimension tables with low cardinality?
",NA,Medium,Single correct,Dictionary encoding,Run-length encoding,Huffman coding,Lempel-Ziv coding,1
147,21001,What benefits does columnar storage offer in conjunction with data compression in data warehouses?,NA,Medium,Single correct,Improved compression ratios for specific data types,Faster data loading and transformation,Increased CPU utilization during queries,Reduced disk space fragmentation,1
148,21001,"How can data compression impact the performance of ad-hoc queries in a data warehouse?
",NA,Medium,Single correct,Always improve query performance due to reduced storage size,Potentially slow down certain queries due to decompression overhead,Have no significant impact on query performance,Significantly increase the complexity of query optimization,2
149,21001,Which data compression tool is specifically designed for efficient compression of large data in data warehouses?,NA,Medium,Single correct,gzip,bzip2,KZMA,Snappy,4
150,21001,What is the main advantage of using hybrid data compression techniques in data warehouses?,NA,Medium,Single correct,Achieve near-optimal compression ratios for all data types ,Reduce the processing overhead associated with decompression ,Offer flexibility to apply different compression methods to different data segments,Simplify data management tasks,3
151,21001,"What factors should be considered when choosing a data compression technique for a data warehouse?
",NA,Medium,Single correct,Compression ratio only, Data types within the data warehouse,Query patterns and performance requirements,All of the above,4
