question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
21,21028,"For random variables \(X\) and \(Y\), if \(\text{Cov}(X, Y) = 0\), which of the following statements are true?
",NA,Easy,Multi correct, X and Y are independent.,The correlation between X and Y is zero. ,The conditional expectation of X given Y is zero.,The conditional variance of X given Y is zero.,"1,2"
22,21028,"For random variables \(X\) and \(Y\), if \(\text{Var}(X \mid Y) = 0\), which of the following statements are true?
",NA,Easy,Multi correct,X and Y are independent., The conditional expectation of X given Y is zero, The conditional variance of X given Y is zero.,The correlation between X and Y is zero.,"1,3"
23,21028,"Consider two random variables \(X\) and \(Y\). If \(E(XY) = Y\), which of the following statements are true?",NA,Easy,Multi correct, X and Y are independent.,The conditional expectation of X given Y is a constant, The variance of X given Y is always zero.,E(X) equals the unconditional expectation of X.,"2,4"
24,21028,"Given two independent random variables X and Y, which of the following statements about their conditional variance is true?",NA,Easy,Multi correct,The conditional variance of X given Y is always zero.,The conditional variance of X given Y is equal to the unconditional variance of X.,The conditional variance of X given Y is always less than or equal to the unconditional variance of X.,The conditional variance of X given Y is independent of the unconditional variance of X.,"2,3"
25,21028,"For random variables \(X\) and \(Y\), if \(\text{Cov}(X, Y) = 0\), which of the following statements are true?
",NA,Easy,Multi correct,X and Y are independent,he cor relation between X and Y is zero., The conditional expectation of X given Y is zero.,The conditional variance of X given Y is zero.,"1,2"
26,21028,"For random variables \(X\) and \(Y\), if \(\text{Var}(XY) = 0\), which of the following statements are true?",NA,Easy,Multi correct, X and Y are independent.,The conditional expectation of X given Y is zero., The conditional variance of X given Y is zero.,The correlation between X and Y is zero.,"1,3"
27,21028,"For a standard normal distribution (z-distribution), which of the following statements are true?",NA,Easy,Multi correct,The mean  is zero.,The standard deviation is one.,The random variable is denoted by Z.,The area under the curve between -1 and 1 is approximately 34 percent.,"1,2,3,4"
28,21028,"For a population with known mean \(\mu\) and standard deviation \(\sigma\), which of the following statements about the sampling distribution of the sample mean according to the Central Limit Theorem (CLT) are true?",NA,Easy,Multi correct,"The mean of the sampling distribution is \(\mu\).
","The standard deviation of the sampling distribution is \(\sigma\).
","The shape of the sampling distribution is always normal, regardless of the sample size.", Increasing the sample size will decrease the spread of the sampling distribution.,"1,3"
29,21028,"For a standard normal distribution, which of the following statements about Z - scores are true?",NA,Easy,Multi correct,A positive Z-score indicates that the value is above the mean.,AZ-score of 0 corresponds to the mean.,A negative Z-score indicates that the value is below the mean.,The Z-score is calculated as the square root of the variance.,"1,2,3"
30,21028,Consider a population with an unknown distribution. Select the statements that are true according to the Central Limit Theorem (CLT). ,NA,Easy,Multi correct,The CLT guarantees that the sampling distribution of the sample mean will be normal.,The CLT is only applicable when the population distribution is normal.,The standard deviation of the sample mean is inversely proportional to \(\sqrt{n}\)., The CLT allows for time estimation of population parameters.,"3,4"
31,21028,"For a standard normal distribution, which of the following statements about percentiles are true?",NA,Easy,Multi correct, The 50th percentile corresponds to the mean,The area to the left of the 75th percentile is approximately 0.6745. , The 90th percentile corresponds to a Z-scpre of 1.28. ,The 25th percentile is the same as the first quartile. ,"1,3,4"
32,21168,Suppose you have a sample of 100 observations with a sample mean (\(\bar{x}\)) of 50 and a standard deviation (\(s\)) of 10. Which of the following statements about a 95\% confidence interval for the population mean (\(\mu\)) is/are correct?,NA,Easy,Multi correct,The margin of error is approximately 1.96.,"The confidence interval is \((48.04, 51.96)\).",Increasing the sample size would decrease the width of the confidence interval.,The confidence interval would be wider if the standard deviation of the population were larger.,"1,2,3"
33,21168,"You calculate a 99\% confidence interval for the average weight of a certain species of bird to be (25.5 grams, 30.2 grams). Select the correct statements.",NA,Easy,Multi correct,The margin of error is 2.35 grams.,The sample mean is 28.85 grams.,"If you took many samples and constructed 95\% confidence intervals, approximately 99\% of them would contain the true population mean.",The confidence interval would be wider if the sample size were increased.,"1,2,3"
34,21168,"You are estimating the average height of a population using a sample of 50 individuals. The 90\% confidence interval is (64 inches, 68 inches). Select the correct statements.",NA,Medium,Multi correct,The margin of error is 2 inches.,The margin of error is 2 inches.,"If you took many samples and constructed 95\% confidence intervals, approximately 90\% of them would contain the true population mean.", The confidence interval would be narrower if the sample size were increased.,"1,2,4"
35,21168,Consider a joint probability distribution for random variables X and Y. Which of the following statements about marginal distribution functions are true?,NA,Medium,Multi correct,The marginal distribution of X provides the probabilities of individual values of X.,The marginal distribution of Y provides the probabilities of individual values of Y.,The sum of the marginal probabilities of X is always equal to 1.,The marginal distribution functions are only applicable to discrete random variables.,"1,2,3"
36,21168,"For a joint probability distribution of random variables X and Y, which statements regarding marginal distribution functions hold true?",NA,Medium,Multi correct,Marginal distribution functions are always univariate.,The marginal distribution of X is obtained by summing the joint probabilities over all possible values of Y.,Marginal distribution functions are applicable only to continuous random variables.,The marginal distribution of Y is obtained by integrating the joint probabilities over all possible values of X.,"1,2"
37,21168,Suppose you have a joint probability distribution for random variables X and Y. Choose the correct statements about marginal distribution functions.,NA,Hard,Multi correct,The marginal distribution of X can be obtained by integrating the joint distribution over all possible values of Y.,Marginal distribution functions are useful only for continuous random variables.,Marginal probabilities in discrete distributions are obtained by summing joint probabilities over relevant values.,The marginal distribution of Y is calculated by summing the joint probabilities over all possible values of X.,"1,3"
38,21168,Consider a joint probability distribution for two random variables X and Y. Choose the correct statements about marginal distribution functions.,NA,Hard,Multi correct,The marginal distribution of X can be obtained by integrating the joint distribution over all possible values of Y.,The marginal distribution of Y provides probabilities for individual values of Y by integrating over all possible values of X.,Marginal distribution functions are only applicable to bivariate distributions.,Marginal probabilities in continuous distributions are obtained by summing joint probabilities over relevant values.,"2,3"
39,21168,Suppose X and Y have a joint probability distribution. Choose the correct statements about marginal distribution functions.,NA,Hard,Multi correct,The marginal distribution of X is obtained by integrating the joint distribution over all possible values of Y.,Marginal distribution functions are applicable only to continuous random variables.,Marginal probabilities in continuous distributions are obtained by summing joint probabilities over relevant values.,The marginal distribution of Y provides probabilities for individual values of Y by summing over all possible values of X.,"1,4"
40,21168,"You construct a 95\% confidence interval for the mean time spent daily on a certain activity. The interval is (30 minutes, 40 minutes). Select the correct statements.",NA,Easy,Multi correct,The margin of error is 10 minutes.,The sample mean is 35 minutes.,"If you took many samples and constructed 99\% confidence intervals, approximately 95\% of them would contain the true population mean.","The confidence interval would be wider if the standard deviation of the population were smaller.
\end{enumerate}","1,2,3"
41,21168,"You calculate an 80\% confidence interval for the average temperature on a particular day to be (25°C, 28°C). Select the correct statements.",NA,Easy,Multi correct,The margin of error is 1.5°C.,The sample mean is 27°C.,"If you took many samples and constructed 90\% confidence intervals, approximately 80\% of them would contain the true population mean.",The confidence interval would be narrower if the sample size were increased.,"1,4"
42,21168,"Consider two chi-squared distributions, one with \(m\) degrees of freedom and another with \(n\) degrees of freedom. Which of the following statements are true?",NA,Medium,Multi correct,The sum of two independent chi-squared variables with different degrees of freedom follows a chi-squared distribution.,The sum of two independent chi-squared variables with different degrees of freedom is normally distributed.,The mean of a chi-squared distribution is proportional to its degrees of freedom.,The variance of a chi-squared distribution is proportional to its degrees of freedom.,"1,3,4"
43,21168,"For a chi-squared distribution with \(p\) degrees of freedom, which of the following statements are true?",NA,Medium,Multi correct,The chi-squared distribution is defined only for positive values of \(p\).,The chi-squared distribution is a continuous probability distribution.,The chi-squared distribution is the sum of \(p\) independent standard normal random variables squared.,The chi-squared distribution is skewed to the left for all values of \(p\).,"2,3"
44,21168,"For a chi-squared distribution with \(d\) degrees of freedom, choose the correct statements:",NA,Medium,Multi correct,The probability density function of the chi-squared distribution is skewed.,The chi-squared distribution is a special case of the gamma distribution.,The chi-squared distribution is symmetric for all values of \(d\).,The chi-squared distribution is used for hypothesis testing in statistics.,"2,4"
45,21168,"For a T-distribution with \(n\) degrees of freedom, which of the following statements are true?",NA,Medium,Multi correct,The T-distribution is symmetric for all values of \(n\).,The T-distribution is defined only for integer values of \(n\).,The T-distribution approaches the standard normal distribution as \(n\) increases.,The mean of the T-distribution is always zero.,"1,3"
46,21168,"For a T-distribution with k degrees of freedom, choose the correct statements:",NA,Medium,Multi correct,The T-distribution is more peaked than the standard normal distribution.,The tails of the T-distribution are fatter than the standard normal distribution.,The T-distribution becomes closer to a normal distribution as k increases.,The T-distribution is only applicable when the sample size is small.,"2,3"
47,21168,Consider a T-distribution with df degrees of freedom. Choose the correct statements.,NA,Medium,Multi correct,The T-distribution is defined only for positive values of df.,The T-distribution is a discrete probability distribution.,The T-distribution is symmetric around zero.,The variance of the T-distribution decreases as the degrees of freedom increase.,"3,4"
48,21168,For a T-distribution with n degrees of which of the following statements are correct?,NA,Medium,Multi correct,The T-distribution is symmetric around zero.,"As n increases, the T-distribution compared the standard normal distribution.",The T-distribution has heavier tails compared to the standard normal distribution.,The mean of the T-distribution is always zero.,"1,2,3"
49,21168,"For a given hypothesis test with a significance level of 0.05, which of the following statements are correct?",NA,Medium,Multi correct,"If the p-value is less than 0.05, reject the null hypothesis.","If the p-value is greater than 0.05, fail to reject the null hypothesis.","If the test statistic falls in the critical region, reject the null hypothesis.","If the test statistic falls in the acceptance region, fail to reject the null hypothesis.","1,2"
50,21168,"In a hypothesis test, if the Type I error rate is reduced:",NA,Medium,Multi correct,The power of the test increases.,The power of the test decreases.,The probability of rejecting a true null hypothesis decreases.,The probability of failing to reject a false null hypothesis increases.,"3,4"
51,21168,"For a two-tailed hypothesis test, which of the following statements are true?",NA,Medium,Multi correct,"The critical region is split into two regions, one in each tail.",Rejection of the null hypothesis occurs if the test statistic falls in either tail.,The p-value is compared to half of the significance level.,The null hypothesis is rejected if the p-value is less than the significance level divided by two.,"1,2"
52,21168,"In hypothesis testing, which of the following statements about Type II error are true?",NA,Medium,Multi correct,Type II error occurs when the null hypothesis is incorrectly rejected.,Increasing the sample size reduces the likelihood of Type II error.,Type II error is denoted by \(\beta\).,Type II error is also known as a false positive.,"2,4"
53,21168,"In a hypothesis test, the p-value is calculated to be 0.02. Choose the correct statements:",NA,Medium,Multi correct,The null hypothesis is rejected at the 0.05 significance level.,There is strong evidence in favor of the null hypothesis.,The observed data is likely consistent with the null hypothesis.,The alternative hypothesis is rejected.,"1,3"
54,21168,"For a given hypothesis test comparing the mean of a population to a known value using a Z-test, which of the following statements are correct?",NA,Medium,Multi correct,The Z-test assumes that the population standard deviation is known.,The Z-test is appropriate when the sample size is small.,The test statistic is calculated as the difference between the sample mean and the population mean divided by the standard error.,The critical value for rejection is obtained from the standard normal distribution.,"1,3"
55,21168,"For a hypothesis test comparing the means of two independent populations, which of the following statements about the t-test are correct?",NA,Medium,Multi correct,The t-test assumes equal variances between the two populations.,The degrees of freedom for the t-test depend on the sample sizes of both populations.,The t-test can be used for both large and small sample sizes.,The critical value for rejection is obtained from the t-distribution.,"1,2,4"
56,21168,Consider a one-sample t-test for the mean with n observations. Which of the following statements are true?,NA,Medium,Multi correct,The t-test assumes that the population standard deviation is known.,The test statistic is calculated as the difference between the sample mean and the population mean divided by the standard error.,"As the sample size (n) increases, the t-distribution approaches the standard normal distribution.",The critical value for rejection is obtained from the t-distribution.,"2,3,4"
57,21168,"For a paired-sample t-test, which of the following statements are correct?",NA,Medium,Multi correct,The test is used to compare the means of two independent populations.,The data must be measured on an ordinal or nominal scale.,The degrees of freedom for the test are equal to the sample size minus one.,The test is appropriate when comparing pre-test and post-test measurements on the same subjects.,"3,4"
58,21168,"For a hypothesis test comparing the means of two independent populations with unknown variances, which of the following statements about Welch's t-test are correct?",NA,Medium,Multi correct,Welch's t-test assumes equal variances between the two populations.,The degrees of freedom for Welch's t-test are based on the sample sizes of both populations.,Welch's t-test is robust to unequal sample sizes.,The critical value for rejection is obtained from the t-distribution.,"3,4"
59,21168,"For a chi-squared test of independence with a contingency table, which of the following statements are correct?",NA,Medium,Multi correct,The chi-squared test can be used to determine whether there is a significant association between two categorical variables.,The degrees of freedom for the test are equal to the product of the number of categories minus one for each variable.,"The null hypothesis for the chi-squared test of independence assumes that there is no association between the variables.
    \item The chi-squared test is appropriate only for small sample sizes.",The chi-squared test is appropriate only for small sample sizes.,"1,3"
60,21168,"For a goodness-of-fit chi-squared test, which of the following statements are true?",NA,Medium,Multi correct,The test is used to determine whether the observed frequencies in a single categorical variable match the expected frequencies.,The degrees of freedom for the test are equal to the number of categories minus one.,The null hypothesis for the test assumes that there is a significant difference between the observed and expected frequencies.,The chi-squared test of goodness-of-fit is only applicable when the sample size is large.,"1,2"
61,21168,Consider a chi-squared test with a significance level of 0.01. Choose the correct statements:,NA,Medium,Multi correct,"If the calculated chi-squared statistic is greater than the critical value, reject the null hypothesis.","If the p-value is less than 0.01, reject the null hypothesis.","The chi-squared test is one-tailed, with critical values found in the upper tail only.","If the observed frequencies match the expected frequencies exactly, the chi-squared statistic will be zero.","2,4"
62,21168,"For a chi-squared test of independence with a contingency table, which of the following statements are correct?",NA,Medium,Multi correct,The chi-squared test can be used to determine whether there is a significant association between two categorical variables.,The degrees of freedom for the test are equal to the product of the number of categories minus one for each variable.,The null hypothesis for the chi-squared test of independence assumes that there is no association between the variables.,The chi-squared test is appropriate only for small sample sizes.,"1,3"
63,21038,"If \(P(\neg A) = 0.7\), \(P(B) = 0.7\) and \(P(B \mid A) = 0.5\), then find \(P(A \mid B)\).",NA,Easy,Single correct,Mar-14,10-May,03-Feb,07-Oct,1
64,21038,"A die, whose faces are marked 1,2, 3 in red and 4, 5, 6 in green , is tossed. Let A be the event “number obtained is even” and B be the event “number obtained is red”. Find relation between A and B",NA,Easy,Single correct,A and B are independent,A and B are dependent,A and B are mutually exclusive events,All of the above,1
65,21038,"A black and a red die are rolled together. Find the conditional probability of obtaining the sum 8, given that the red die resulted in a number less than 4",NA,Easy,Multi correct,Feb-17,01-Sep,23/61,Feb-18,"2,4"
66,21038,"Evaluate \(P(A \cup B)\), if \(2P(A) = P(B) = 5/13\) and \(P(A \mid B) = 2/5\).
",NA,Easy,Single correct,Nov-26,Nov-24,Oct-13,Nov-14,1
67,21038,"A and B throw a pair of dice alternately. A wins the game, if he gets a total of 7 and B wins the game, if he gets a total of 10. If A starts the game, then find the probability that B wins
",NA,Medium,Single correct,11-Dec,01-Dec,May-17,Mar-17,3
68,21038,"A and B throw a pair of dice alternately, till one of them gets a total of 10 and wins the game. Find the probability of A of winning, if A starts first",NA,Easy,Single correct,11-Dec,Dec-23,Nov-23,Oct-21,2
69,21038,"A and B throw a pair of dice alternately, till one of them gets a total of 10 and wins the game. Find the probability of B of winning, if A starts first",NA,Easy,Single correct,Nov-23,11-Dec,Dec-23,Oct-21,1
70,21038,"Probabilities of solving a specific problem independently by A and B are 12 and 13, respectively. If both try to solve problem independently, then find the probability that problem is solved.
",NA,Easy,Single correct,02-Mar,01-Feb,01-Mar,02-May,1
71,21038,"Probabilities of solving a specific problem independently by A and B are 12 and 13, respectively. If both try to solve problem independently, then find the probability that exactly one of them solves the problem",NA,Easy,Single correct,01-Feb,02-Mar,03-Apr,04-May,1
72,21038,"A couple has 2 children. Find the probability that both are boys, if it is known that one of them is a boy",NA,Easy,Single correct,02-Mar,01-Mar,02-May,04-Mar,2
73,21038,"Assume that each born child is equally likely to be a boy or a girl. If a family has two children, then what is the conditional probability that both are girls? Given that the youngest is a girl?",NA,Easy,Single correct,01-Feb,02-Mar,03-Apr,02-May,1
74,21038,"Assume that each born child is equally likely to be a boy or a girl. If a family has two children, then what is the conditional probability that both are girls? Given that atleast one is a girl? ",NA,Easy,Single correct,01-Mar,02-Mar,01-Apr,02-May,1
75,21038,"A couple has 2 children. Find the probability that both are boys, if it is known that older child is a boy",NA,Easy,Single correct,01-Feb,03-Apr,02-Mar,02-May,1
76,21038,"A speaks truth in 75% of the cases, while B in 90% of the cases. In what percent of cases are they likely to contradict each other in stating the same fact? ",NA,Easy,Single correct,30,20,70,25,1
77,21038,P speaks truth in 70% of the cases and Q in 80% of the cases. In what percent of cases are they likely to agree in stating the same fact?,NA,Easy,Single correct,70,62,30,15,2
78,21038,"A speaks truth in 60% of the cases, while B in 90% of the cases. In what percent of cases are they likely to contradict each other in stating the same fact? ",NA,Medium,Single correct,30,40,42,50,3
79,21038,"A speaks truth in 60% of the cases, while B in 90% of the cases.In the cases of contradiction do you think, the statement of B will carry more weight as he speaks truth in more number of cases than A? ",NA,Medium,Single correct,Yes,No,Information insufficient,Not same all the times,1
80,21038,"If \(A\) and \(B\) are two independent events such that \(P(\overline{A} \cap B) = 2/15\) and \(P(A \cap \overline{B}) = 1/6\), then find \(P(A)\) and \(P(B)\).",NA,Medium,Multi correct,"1/6,1/5","2/6,7/30","4/5,5/6","1/2,1/2","1,3"
81,21038,"Consider the experiment of tossing a coin. If the coin shows head, toss it again, but if it shows tail, then throw a die. Find the conditional probability of the event that ‘the die shows a number greater than 4’, given that ‘there is atleast one tail’. ",NA,Easy,Single correct,02-Sep,01-Sep,04-May,03-Jun,1
82,21038,"Find the probability distribution of X, the number of heads in a simultaneous toss of two coins",NA,Easy,Single correct,"1/4,1/2,1/4","1/2,1/4,1/2","1/5,2/5,1/5","0,1/2,1",1
83,21038,"The random variable X has a probability distribution P(X) of the following form, where ‘k’ is some number.Determine the value of ‘k’",https://drive.google.com/file/d/1qJghy5EtTgNya3LkmnVdE1-WfeHXTQ0k/view?usp=drive_link,Medium,Single correct,01-Feb,01-Jun,01-Mar,01-Dec,2
84,21038,"Suppose a girl throws a the. If she gets 1 or 2, she tosses a coin three times and notes the number of tails. If she gets 3, 4, 5 or 6, she tosses a coin once and notes whether a ‘head’ or ‘tail’ is obtained. If she obtained exactly one ‘tail’, what is the probability that she threw 3, 4, 5 or 6 with the die",NA,Medium,Single correct,03-Aug,08-Nov,01-Aug,01-Mar,2
85,21038,Two numbers are selected at random (without replacement) from the first five positive integers. Let X denotes the larger of the two numbers obtained. Find the mean and variance of X,NA,Easy,Single correct,"4,1","1,4","2,4","2,5",1
86,21038,"Two groups are competing for the positions of the Board of Directors of a corporation. The probabilities that the first and second groups will win are 0.6 and 0.4 respectively. Further, if the first group wins, the probability of introducing a new product is 0.7 and the corresponding probability is 0.3 if the second group wins. Find the probability that the new product introduced way by the second group.",NA,Medium,Single correct,Nov-27,21/50,03-Oct,Nov-21,1
87,21038,"The random variable \( X \) can take values 0, 1, 2, 3. Given \( P(X = 0) = P(X = 1) = p \), \( P(X = 2) = P(X = 3) = q \) such that \( \sum_{i=0}^{3} p_i x_i^2 = 2 \sum_{i=0}^{3} p_i x_i \), find the value of \( p \).",NA,Easy,Single correct,03-Feb,03-Aug,13-Feb,01-May,2
88,21038,"There are 4 cards numbered 1, 3, 5, and 7, one number on each card. Two cards are drawn at random without replacement. Let \( X \) denote the sum of the numbers on the two drawn cards. Find the mean and variance of \( X \).",NA,Medium,Single correct,"6,20/3","6,11/3","8,20/3","8,11/3",2
89,21038,"Three persons A, B and C apply for a job of Manager in a private company. Chances of their selection \(A, B and C)\ are in the ratio 1:2:4. The probabilities that A, B and C can introduce changes to improve profits of the company are 0.8, 0.5 and 0.3, respectively. If the change does not take place, find the probability that it is due to the appointment of C",NA,Medium,Single correct,0.5,0.7,0.45,0.5,2
90,21038,"A bag X contains 4 white balls and 2 black balls, while another bag Y contains 3 white balls and 3 black balls. Two balls are drawn (without replacement) at random from one of the bags and were found to be one white and one black. Find the probability that the balls were drawn from bag Y",NA,Easy,Single correct,Sep-17,Aug-15,03-May,01-Feb,1
91,21038,"In a game, a man wins ₹ 5 for getting a number greater than 4 and loses ₹ 1 otherwise, when a fair die is thrown. The man decided to throw a die thrice but to quit as and when he gets a number greater than 4. Find the expected value of the amount he wins/loses",NA,Medium,Single correct,2,1,0,2,2
92,21038,A bag contains 4 balls. Two balls are drawn at random (without replacement) and are found to be white. What is the probability that all the balls in the bag are white? ,NA,Medium,Single correct,01-Mar,03-May,02-May,01-Jun,2
93,21038,Let X denote the number of colleges where you will apply after your results and P(X = x) denotes your probability of getting admission in x number of colleges. It is given that as below. where k is a positive constant. Find the value of k,https://drive.google.com/file/d/1A6SbSL2quXL91H1IUHSV-CXiHkaae78V/view?usp=drive_link,Medium,Single correct,01-Aug,02-Aug,01-Jul,01-Jun,1
94,21038,"Let X denote the number of colleges where you will apply after your results and P(X = x) denotes your probability of getting admission in x number of colleges. It is given that as below. where k is a positive constant. Also, find the probability that you will get admission in at most 2 colleges
",https://drive.google.com/file/d/1A6SbSL2quXL91H1IUHSV-CXiHkaae78V/view?usp=drive_link,Easy,Single correct,05-Sep,05-Aug,01-Aug,Jul-18,2
95,21038,"Let X denote the number of colleges where you will apply after your results and P(X = x) denotes your probability of getting admission in x number of colleges. It is given that as below. where k is a positive constant. Also, find the probability that you will get admission in atleast 2 colleges
",https://drive.google.com/file/d/1A6SbSL2quXL91H1IUHSV-CXiHkaae78V/view?usp=drive_link,Easy,Single correct,03-Aug,01-Aug,07-Aug,02-Aug,3
96,21038,"A bag A contains 4 black and 6 red balls and bag B contains 7 black and 3 red balls. A die is thrown. If 1 or 2 appears on it, then bag A is chosen, otherwise bag B. If two balls are drawn at random (without replacement) from the selected bag, find the probability of one of them being red and another black",NA,Medium,Single correct,22/45,Jul-15,Aug-15,20/45,1
97,21038,"Three machines E1, E2 and E3 in a certain factory producing electric bulbs, produce 50%, 25% and 25% respectively, of the total daily output of electric bulbs. It is known that 4% of the bulbs produced by each of machines E1 and E2 are defective and that 5% of those produced by machine E3 are defective. If one bulb is picked up at random from a day’s production, calculate the probability that it is defective",NA,Medium,Single correct,Jan-50,17/400,3/400,Jan-80,2
